Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status
"CX_508",1104962,100.00,551.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.74396"" N","88° 34' 55.55969"" E",12.58,-0.00,0.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",850793,100.00,559.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.73022"" N","88° 34' 55.50476"" E",12.94,-0.00,0.00,0,"172.16.1.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1104877,110.00,550.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 33.12469"" N","88° 35' 33.65479"" E",12.57,-0.00,0.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1104871,110.00,542.00,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.76456"" N","88° 34' 55.64209"" E",12.76,0.00,0.00,0,"172.16.0.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.01,-0.00,1.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
